network,architecture,energy_model,optical_loss_db_per_stage,mapping,stationarity,layers,energy_j,latency_s,edp_j_s,frontier_states,accuracy,accuracy_status
mobilenet_v3,c4_r16,optimistic_constant_symbol,0.0,ASWM-WS,WS,64,0.4904370772741551,0.020587878400000006,0.010097058909771712,1,,NOT_MODELED
mobilenet_v3,c4_r16,optimistic_constant_symbol,0.5,ASWM-WS,WS,64,0.4905304693895429,0.020587878400000006,0.010098981655286835,1,,NOT_MODELED
mobilenet_v3,c4_r16,optimistic_constant_symbol,1.0,ASWM-WS,WS,64,0.49063525706649413,0.020587878400000006,0.010101139011237725,1,,NOT_MODELED
mobilenet_v3,c4_r16,linear_bit,0.0,ASWM-WS,WS,64,1.183336965313528,0.020587878400000006,0.024362397548099938,417856,,NOT_MODELED
mobilenet_v3,c4_r16,linear_bit,0.5,ASWM-WS,WS,64,1.1834303574289156,0.020587878400000006,0.024364320293615058,416053,,NOT_MODELED
mobilenet_v3,c4_r16,linear_bit,1.0,ASWM-WS,WS,64,1.1835351451058667,0.020587878400000006,0.024366477649565944,411483,,NOT_MODELED
mobilenet_v3,c4_r16,conservative_walden,0.0,ASWM-WS,WS,64,1.043755049359851,0.04117575680000001,0.042977404071213234,604981,,NOT_MODELED
mobilenet_v3,c4_r16,conservative_walden,0.5,ASWM-WS,WS,64,1.0443866071862136,0.04117575680000001,0.04300340894267667,599613,,NOT_MODELED
mobilenet_v3,c4_r16,conservative_walden,1.0,ASWM-WS,WS,64,1.0452787063275524,0.04117575680000001,0.04304014179996193,596517,,NOT_MODELED
mobilenet_v3,c4_r8,optimistic_constant_symbol,0.0,ASWM-WS,WS,64,0.5599396193709635,0.011430016000000006,0.006400118808444026,1,,NOT_MODELED
mobilenet_v3,c4_r8,optimistic_constant_symbol,0.5,ASWM-WS,WS,64,0.5600618871652778,0.011430016000000006,0.0064015163312893236,1,,NOT_MODELED
mobilenet_v3,c4_r8,optimistic_constant_symbol,1.0,ASWM-WS,WS,64,0.5601990738868655,0.011430016000000006,0.0064030843777120585,1,,NOT_MODELED
mobilenet_v3,c4_r8,linear_bit,0.0,ASWM-WS,WS,64,1.5093395871282755,0.011430016000000006,0.017251775630309593,279737,,NOT_MODELED
