energy_model,optical_loss_db_per_stage,mapping,architecture,geometric_mean_edp,rank
optimistic_constant_symbol,0.5,Mixed-1bit,c4_r16,7.863179712945766,5
optimistic_constant_symbol,0.5,Mixed-1bit,c4_r8,8.141306853760819,6
optimistic_constant_symbol,0.5,Mixed-1bit,c8_r4,9.22583310835119,7
optimistic_constant_symbol,0.5,Mixed-1bit,compact_4x4,10.435353107318074,8
optimistic_constant_symbol,1.0,ASWM-IS,c8_r32,1.0604131382216861,1
optimistic_constant_symbol,1.0,ASWM-IS,c4_r32,1.9969606632565506,2
optimistic_constant_symbol,1.0,ASWM-IS,c8_r16,2.213992346643587,3
optimistic_constant_symbol,1.0,ASWM-IS,c4_r16,4.311589200788251,4
optimistic_constant_symbol,1.0,ASWM-IS,paper_optimum_8x8,4.750078064301092,5
optimistic_constant_symbol,1.0,ASWM-IS,c4_r8,13.401899588416164,6
optimistic_constant_symbol,1.0,ASWM-IS,c8_r4,13.442002965507037,7
optimistic_constant_symbol,1.0,ASWM-IS,compact_4x4,34.40030696850494,8
optimistic_constant_symbol,1.0,ASWM-WS,c8_r16,0.8619346591296984,1
optimistic_constant_symbol,1.0,ASWM-WS,c8_r32,0.8742936805578265,2
optimistic_constant_symbol,1.0,ASWM-WS,paper_optimum_8x8,0.9483622779384495,3
optimistic_constant_symbol,1.0,ASWM-WS,c4_r16,1.1130022506650679,4
optimistic_constant_symbol,1.0,ASWM-WS,c4_r8,1.2253279850529861,5
optimistic_constant_symbol,1.0,ASWM-WS,c8_r4,1.3061651420574971,6
optimistic_constant_symbol,1.0,ASWM-WS,c4_r32,1.385176695061866,7
optimistic_constant_symbol,1.0,ASWM-WS,compact_4x4,1.7332400795007936,8
optimistic_constant_symbol,1.0,Joint-ASWM,c8_r32,0.6997110610186678,1
optimistic_constant_symbol,1.0,Joint-ASWM,c8_r16,0.8214322683116365,2
optimistic_constant_symbol,1.0,Joint-ASWM,paper_optimum_8x8,0.9483622779384496,3
optimistic_constant_symbol,1.0,Joint-ASWM,c4_r16,1.1130022506650679,4
optimistic_constant_symbol,1.0,Joint-ASWM,c4_r32,1.1729622762865373,5
optimistic_constant_symbol,1.0,Joint-ASWM,c4_r8,1.2253279850529861,6
optimistic_constant_symbol,1.0,Joint-ASWM,c8_r4,1.3061651420574971,7
optimistic_constant_symbol,1.0,Joint-ASWM,compact_4x4,1.7332400795007938,8
optimistic_constant_symbol,1.0,Mixed-1bit,c8_r32,5.824129409387066,1
optimistic_constant_symbol,1.0,Mixed-1bit,c8_r16,6.744899341575938,2
optimistic_constant_symbol,1.0,Mixed-1bit,paper_optimum_8x8,7.57077855555709,3
optimistic_constant_symbol,1.0,Mixed-1bit,c4_r32,7.794831568862393,4
optimistic_constant_symbol,1.0,Mixed-1bit,c4_r16,7.9109587620307025,5
optimistic_constant_symbol,1.0,Mixed-1bit,c4_r8,8.230476830624038,6
optimistic_constant_symbol,1.0,Mixed-1bit,c8_r4,9.428986913958088,7
optimistic_constant_symbol,1.0,Mixed-1bit,compact_4x4,10.596862752031154,8
